WeaponName,RegistryName,WeaponSpawnerClass,WeaponType,isExplosive,isThrowable,AmmoBeforeReload,ReloadAmmoMag,PickupAmmoNotes,ThrownDamage,ProjectileDamage,ProjectilesPerShot,PlayerFireRate,MaxAmmo,MaxAmmoSource,ShotsPerBurst,ShotFireRate,DamagePerProjectile,DamageTag,RangedWepInstanceClass,ProjectilesSource
Crossbow,Crossbow,BP_WeaponSpawner_Crossbow_C,Ranged,false,true,1,,,10.0,special,1,1.0,1,override,1,0.1,special,Data.Damage.Ranged.Crossbow,BP_WeaponInstance_Crossbow_C,verified:BP_WeaponInstance_Crossbow
IAORifle,IAO Rifle,BP_WeaponSpawner_IAORifle_C,Ranged,false,true,20,,,10.0,6.0,1,0.1,30,override,5,0.1,1.5,Data.Damage.Ranged.AssaultRifle,BP_WeaponInstance_Rifle_C,verified:DT_ThrowableWeapons
SniperRifle,Sniper Rifle,BP_WeaponSpawner_SniperRifle_C,Ranged,false,true,1,1,"pickup total not represented here; observed pickups can show 2 shots because reload/cycle mag is 1",10.0,60.0,1,1.0,5,override,1,0.7,14.0,,BP_WeaponInstance_SniperRifle_C,verified:DT_ThrowableWeapons
IAOShotgun,IAO Shotgun,BP_WeaponSpawner_IAOShotgun_C,Ranged,false,true,2,,,10.0,4.3,7,0.2,5,override,1,1.4,1.0,Data.Damage.Ranged.Shotgun,BP_WeaponInstance_Shotgun_C,verified:BP_WeaponInstance_Shotgun
DollarStoreM4,Dollar Store M4,BP_WeaponSpawner_DollarStoreM4_C,Ranged,false,true,20,,,10.0,6.0,1,0.1,30,override,5,0.1,1.5,Data.Damage.Ranged.AssaultRifle,BP_WeaponInstance_Rifle_ThinbloodEarly_C,verified:DT_ThrowableWeapons
StubbySmg,Stubby SMG,BP_WeaponSpawner_StubbySmg_C,Ranged,false,true,25,,,10.0,4.0,1,0.08,60,override,15,0.08,1.2,,BP_WeaponInstance_Rifle_Dual_C,verified:DT_ThrowableWeapons
SMG,SMG,BP_WeaponSpawner_SMG_C,Ranged,false,true,30,,,10.0,3.0,1,0.07,30,override,3,0.07,1.5,,BP_WeaponInstance_SMG_C,verified:BP_WeaponInstance_SMG
Shotgun,Shotgun,BP_WeaponSpawner_Shotgun_C,Ranged,false,true,1,1,"pickup total not represented here; reload/cycle mag is 1",10.0,4.8,12,0.7,4,override,1,1.5,1.0,Data.Damage.Ranged.Shotgun,BP_WeaponInstance_Shotgun_ThinbloodEarly_C,verified:BP_WeaponInstance_Shotgun_ThinbloodEarly
Revolver,Revolver,BP_WeaponSpawner_Revolver_C,Ranged,false,true,6,,,10.0,10.0,1,0.2,6,override,1,1.25,3.75,Data.Damage.Ranged.Revolver,BP_WeaponInstance_Revolver_C,verified:BP_WeaponInstance_Revolver
MegaShotty,Mega Shotty,BP_WeaponSpawner_MegaShotty_C,Ranged,false,true,5,,,10.0,3.4,8,0.25,10,inherited_native_default,5,0.8,1.0,Data.Damage.Ranged.Shotgun,BP_WeaponInstance_Shotgun_Pump_C,verified:BP_WeaponInstance_Shotgun_Pump
Pistol,Pistol,BP_WeaponSpawner_Pistol_C,Ranged,false,true,10,,,10.0,10.0,1,0.2,15,override,6,0.5,3.0,Data.Damage.Ranged.Handgun,BP_WeaponInstance_Handgun_C,verified:BP_WeaponInstance_Handgun
HighCalRevolver,High Cal Revolver,BP_WeaponSpawner_HighCalRevolver_C,Ranged,false,true,6,,,10.0,15.0,1,0.25,6,override,1,1.25,3.75,Data.Damage.Ranged.Revolver,BP_WeaponInstance_HighCaliburPistol_C,verified:BP_WeaponInstance_HighCaliburPistol
